oj 哀,埃
ajH 藹,曖,靄
eaH 隘,阸
ojH 愛,曖,僾
ngajH 艾
an 安,鞍,鞌
omX 晻
anH 案,按
omH 暗,晻
keam 黬
nganH 岸,豻
ngang 卬
angH 㼜
ngaw 敖,囂,熬,嗸
awX 媼
awH 奧,澳
pae 巴,豝
peat 八
bat 茇,軷
beat 拔
pat 撥,茇,胈,癶
paeX 把
beaX 罷
paeH 霸
baek 白,帛
paek 百,伯,迫,柏
baejH 敗
beaH 稗
paejH 敗
peajH 拜
paen 班,頒,斑,扳,朌
pan 般,搬,𠦒
paenX 板,版
pjonX 反,返,阪
banX 伴
beanH 辦,釆
panH 半
paewng 邦
baewngX 蚌,蜯
bangH 傍
paengH 榜
pangH 謗,舫
paew 包,苞,胞
paw 褒
baewk 雹
paewX 飽
pawX 保,寶
bawX 抱
bawH 暴
buwk 暴,僕,曝,瀑
paewH 豹,爆
pawH 報
pij 悲
pje 陂,羆,碑
pjie 卑,裨
pwoj 杯
pok 北
bajH 拔,茷
bijH 備
bjeX 被
bjeH 被
bwojX 倍
bwojH 背,佩,悖,孛,誖,偝,焙
bwot 勃,悖,孛,誖,艴
pajH 貝
pwojH 背
pwon 奔,賁
pwonX 本,畚,夲
paeng 祊
peang 繃
pong 崩
puwngX 琫
peangH 迸
pongH 堋
pik 偪,逼,幅
bjijH 鼻
pijX 鄙
pit 筆,柲
pjeX 彼
pjijX 比,匕,妣,秕
bejX 髀
bek 辟,甓
bet 苾
bit 邲
bjieX 婢,庳
bjieH 辟,避
bjiejH 幣,敝,弊,斃,㡀
bjiek 辟,擗
bjit 邲,泌
pejH 閉,嬖
pek 壁
pijH 轡,毖,閟
pjaek 碧
pjeH 賁
pjieX 俾,髀
pjieH 臂
pjiejH 蔽
pjiek 辟,璧
pjij 庇
pjijH 比,庇,畀,妣
pjit 必,畢,蹕,韠,篳,彃
pen 邊,編,邉
pjien 鞭,編,籩,𠓥
penX 扁
pjemX 貶
pjemH 窆
benX 辮
bjenX 辯,辨
bjenH 弁,卞,拚,笲
bjienX 諞
bjienH 便
penH 徧
pjenX 辡
pjenH 變
pjiw 彪,髟
pjewX 表
bjiewX 摽
pjiet 鱉
bjet 別,别
pjet 別,别
pin 豳,彬
pjin 賓,賔,濱,瀕,矉
ping 冰,仌,冫
pjaeng 兵
pjieng 并
limX 稟,廩,㐭,凜,禀
pimX 稟,禀
pjaengX 丙,秉,邴,炳
pjiengX 餅
bengX 並
bjaengH 病
pjaengH 柄,枋,棅
pjiengH 并,聘,併
pa 波,番
paewk 剝,駁
bak 薄,亳,泊
pak 博,搏
phak 膊,胉
pjuH 傅,賦,搏,付
powk 襮
paX 跛,簸
paH 播,簸
peak 擘,𠠦
buH 步,哺
puX 補,圃
puwk 卜,濮
buX 簿
buwX 部
pjuw 不
puH 布
dzoj 財,才,材,裁
tshojX 采,採,彩
tshajH 蔡
tshojH 菜
tshom 參,驂,叅
dzam 慚,慙
dzan 殘,戔,𣦻
dzom 蠶
tshanH 粲
tshang 倉,蒼,滄,猖,凔
dzang 藏
tshawX 草,操,艸
tshawH 操,造
dzaw 曹,曺
tsrheak 策,册,栅
tsrhiH 廁
tsrhik 測,惻,畟
tsrik 側,仄,昃,夨,𠨮,𣅔,𣅛
tsrhim 參,槮,駸
dzong 曾,層
tsrhae 差
tsrheap 臿,扱,插
drae 荼,秅,茶
dzrae 槎
dzraeX 槎
tsrheat 察
trhaeH 詫
trhaek 坼,拆
tsrhea 差
tsrheaj 差
dzrea 柴,祡
dzreaj 豺,儕
trhaejH 蠆
tsyhem 襜,幨
drjen 纏,廛,躔
dzrean 孱
dzyen 單,蟬
sreanX 產
trhjemX 諂,讇
tsyhemH 幨
drjang 長,腸,場
dzyang 常,嘗,裳,償,鱨,嫦
